subgroup_column,subgroup_value,sample_size,target_prevalence,positive_recall,false_negative_rate,precision,brier_score
mother_race_6_code,1,404839,0.261135908348751,0.870078889120112,0.129921110879888,0.2853097268274829,0.1792102773234919
mother_race_6_code,2,80804,0.32585020543537446,0.8429168249145461,0.15708317508545389,0.34467549812862047,0.20643131421211844
mother_race_6_code,3,5335,0.32577319587628867,0.8613348676639816,0.1386651323360184,0.35830540928674004,0.20721069101543146
mother_race_6_code,4,36382,0.3097685668737288,0.8955634427684117,0.10443655723158829,0.3317555796601256,0.2043866256025153
mother_race_6_code,5,2175,0.2942528735632184,0.84375,0.15625,0.31505250875145857,0.19966465840891184
mother_race_6_code,6,16231,0.2852566077259565,0.847732181425486,0.152267818574514,0.31173060122309587,0.19025897233388517
mother_hispanic_origin_recode,0,391829,0.282309374752762,0.8685464259562273,0.13145357404377267,0.30678349277713207,0.18794457200995812
mother_hispanic_origin_recode,1,79024,0.26271765539582914,0.8645537305524782,0.1354462694475218,0.28496356391001315,0.1821143606583384
mother_hispanic_origin_recode,2,9915,0.29712556732223905,0.8408010862186015,0.1591989137813985,0.31825774123088785,0.19575478337563285
mother_hispanic_origin_recode,3,4792,0.24353088480801335,0.8774635818337618,0.12253641816623817,0.2578046324269889,0.1720606018276028
mother_hispanic_origin_recode,4,34755,0.2317076679614444,0.8406804917422078,0.15931950825779218,0.24953925543678585,0.16944824282801899
mother_hispanic_origin_recode,5,20027,0.2661407100414441,0.8716697936210132,0.12833020637898684,0.28659552155943496,0.18120429147564146
mother_hispanic_origin_recode,9,5424,0.2676991150442478,0.8884297520661157,0.11157024793388426,0.29060599234061724,0.18040165697597998
payment_source_recode,1,216951,0.28694036902342,0.8181905802223222,0.18180941977767784,0.3154550296664231,0.19169246977061277
payment_source_recode,2,280227,0.27543384470447174,0.9108234867330016,0.08917651326699838,0.2944828192873031,0.18475986462480495
payment_source_recode,3,26367,0.18610384192361665,0.7862237619726921,0.21377623802730794,0.21365675361355707,0.1457000938991763
payment_source_recode,4,17654,0.27568822929647674,0.8602835422231354,0.1397164577768646,0.3006606347838575,0.1872212043061379
payment_source_recode,9,4567,0.24436172542150209,0.8530465949820788,0.1469534050179212,0.27030096536059056,0.17213915614414146
wic_received,False,366534,0.2720102364309996,0.8824284610986851,0.11757153890131489,0.293747036787243,0.1837794199627028
wic_received,True,172661,0.2822756731398521,0.8340924945627641,0.16590750543723587,0.3103822132637012,0.18924754043600095
wic_received,nan,6571,0.2871709024501598,0.8484366719660837,0.15156332803391626,0.3070579209819716,0.19152901238170764
age_band,25-29,149059,0.2599843015181908,0.8601656645937089,0.1398343354062911,0.28641886202333694,0.17894297309391755
age_band,30-34,167136,0.27540446103771776,0.9249402563545513,0.07505974364544865,0.2928491835302857,0.1845869477295862
age_band,35-39,93859,0.3072694147604385,0.9532940360610264,0.04670596393897364,0.3176435247767264,0.19753594474617392
age_band,40+,23055,0.370895684233355,0.9652672202081628,0.0347327797918372,0.3795466041293052,0.2206594355520091
age_band,<25,112657,0.24989126285983118,0.659846547314578,0.34015345268542196,0.2830412920920311,0.178804676047372
bmi_band,18.5-24.9,197478,0.21456060928305937,0.6448278303556678,0.3551721696443322,0.24522510231923603,0.15877496222753773
bmi_band,25-29.9,149299,0.2627546065278401,0.9548293354406179,0.04517066455938212,0.2676322013189765,0.18341709304590753
bmi_band,30-34.9,91660,0.3234671612480908,0.9954804546527708,0.0045195453472292035,0.3238779765170635,0.20795931878118787
bmi_band,35-39.9,45805,0.37347451151621003,0.999356988367335,0.0006430116326650026,0.37354425677890185,0.2243189333409033
bmi_band,40+,33242,0.43087058540400697,1.0,0.0,0.43087058540400697,0.23703259897816797
bmi_band,<18.5,14997,0.24904980996199239,0.25515394912985273,0.7448460508701473,0.41506968641114983,0.1820056082255234
bmi_band,<NA>,13285,0.2944674444862627,0.9115541922290389,0.08844580777096112,0.3000168265185933,0.19658309430222345
