feature,target,missing_rate,mean,median,p25,p75
mother_age,0,0.0,29.46800585980767,30.0,25.0,34.0
mother_age,1,0.0,30.203877178767716,30.0,26.0,34.0
mother_bmi,0,0.023576166878582723,27.276820480703734,25.8,22.6,30.7
mother_bmi,1,0.02626994168665658,29.562359288793406,28.3,23.9,34.0
prepregnancy_hypertension,0,0.0023844349427826653,0.027499849808629576,0.0,0.0,0.0
prepregnancy_hypertension,1,0.0012053819104904148,0.049048717036776546,0.0,0.0,0.0
prepregnancy_diabetes,0,0.0023844349427826653,0.010555221374475376,0.0,0.0,0.0
prepregnancy_diabetes,1,0.0012053819104904148,0.019939778053955987,0.0,0.0,0.0
prior_adverse_pregnancy_history,0,0.0,0.036633660361784705,0.0,0.0,0.0
prior_adverse_pregnancy_history,1,0.0,0.0789395433119265,0.0,0.0,0.0
prior_live_births,0,0.002871867157462227,1.1052431759813717,1.0,0.0,2.0
prior_live_births,1,0.002075492031307999,1.129613075597045,1.0,0.0,2.0
smoking_before_or_during_pregnancy,0,0.0,0.026439309568389205,0.0,0.0,0.0
smoking_before_or_during_pregnancy,1,0.0,0.040436172633041036,0.0,0.0,0.0
multiple_gestation_known_or_suspected,0,0.0,0.009727022786792218,0.0,0.0,0.0
multiple_gestation_known_or_suspected,1,0.0,0.08623569606814,0.0,0.0,0.0
