score_bin,sample_size,mean_predicted_risk,observed_target_rate,positives,negatives
"(-0.001, 0.1]",50,0.08907420719232682,0.22,11,39
"(0.1, 0.2]",110022,0.17867192907066087,0.18253622002872152,20083,89939
"(0.2, 0.3]",300051,0.24209136027223602,0.23683973724466842,71064,228987
"(0.3, 0.4]",83633,0.33968855446827945,0.3609579950498009,30188,53445
"(0.4, 0.5]",25387,0.4399496498299904,0.4325836057824871,10982,14405
"(0.5, 0.6]",7283,0.5392870031504503,0.4960867774268845,3613,3670
"(0.6, 0.7]",4302,0.656347780790117,0.6571362157136216,2827,1475
"(0.7, 0.8]",9565,0.7494654853414077,0.7410350235232619,7088,2477
"(0.8, 0.9]",4831,0.840155513572284,0.8068722831711861,3898,933
"(0.9, 1.0]",642,0.921003570328411,0.8909657320872274,572,70
